player_name,card_name,card_number,card_year,card_release_date
Elly De La Cruz,2024 Topps Chrome PSA 10,44,2024,2024-07-17
Pete Crow-Armstrong,2024 Topps Chrome PSA 10,16,2024,2024-07-17
Jackson Holliday,2024 Topps Chrome PSA 10,88,2024,2024-07-17
Jackson Merrill,2024 Topps Chrome PSA 10,207,2024,2024-07-17
Jasson Domínguez,2024 Topps Chrome PSA 10,89,2024,2024-07-17
Jackson Chourio,2024 Topps Chrome PSA 10,161,2024,2024-07-17
James Wood,2025 Topps Chrome PSA 10,132,2025,2025-07-23
Gunnar Henderson,2023 Topps Chrome PSA 10,2,2023,2023-07-26
Corbin Carroll,2023 topps chrome psa 10,95,2023,2023-07-26
Adley Rutschman,2023 topps chrome psa 10,1,2023,2023-07-26
Oneil Cruz,2022 topps chrome psa 10,128,2022,2022-09-16
Michael Harris II,2023 topps chrome psa 10,79,2023,2023-07-26
Anthony Volpe,2023 topps chrome psa 10,4,2023,2023-07-26
Jordan Walker,2023 topps chrome psa 10,209,2023,2023-07-26
Josh Jung,2023 topps chrome psa 10,93,2023,2023-07-26
Cal Raleigh,2022 topps chrome psa 10,149,2022,2022-09-16
Wyatt Langford,2024 topps chrome psa 10,122,2024,2024-07-17
Bo Bichette,2020 topps chrome psa 10,150,2020,2020-08-07
Yordan Alvarez,2020 topps chrome psa 10,200,2020,2020-08-07
Luis Robert,2020 topps chrome psa 10,60,2020,2020-08-07
Gavin Lux,2020 topps chrome psa 10,148,2020,2020-08-07
Randy Arozarena,2020 topps chrome psa 10,49,2020,2020-08-07
Fernando Tatis Jr,2019 topps chrome psa 10,203,2019,2019-07-31
Vladimir Guerrero Jr,2019 topps chrome psa 10,201,2019,2019-07-31
Pete Alonso,2019 topps chrome psa 10,204,2019,2019-07-31
Kyle Tucker,2019 topps chrome psa 10,39,2019,2019-07-31
Shohei Ohtani,2018 topps chrome psa 10,150,2018,2018-08-01
Ronald Acuna Jr,2018 topps chrome psa 10,193,2018,2018-08-01
Rafael Devers,2018 topps chrome psa 10,25,2018,2018-08-01
Ozzie Albies,2018 topps chrome psa 10,72,2018,2018-08-01
Gleyber Torres,2018 topps chrome psa 10,31,2018,2018-08-01
Aaron Judge,2017 topps chrome psa 10,169,2017,2017-08-02
Cody Bellinger,2017 topps chrome psa 10,79,2017,2017-08-02
Matt Olson,2017 topps chrome psa 10,98,2017,2017-08-02
Freddie Freeman,2011 topps chrome psa 10,173,2011,2011-09-07
Bryce Harper,2012 topps chrome psa 10,196,2012,2012-08-22
Manny Machado,2013 topps chrome psa 10,12,2013,2013-08-07
Nolan Arenado,2013 topps chrome psa 10,78,2013,2013-08-07
Xander Bogaerts,2014 topps chrome psa 10,25,2014,2014-08-27
Jose Ramirez,2014 topps chrome psa 10,45,2014,2014-08-27
George Springer,2014 topps chrome psa 10,138,2014,2014-08-27
Kris Bryant,2015 topps chrome psa 10,112,2015,2015-08-17
Corey Seager,2016 topps chrome psa 10,150,2016,2016-08-03
Trea Turner,2016 topps chrome psa 10,32,2016,2016-08-03
Trevor Story,2016 topps chrome psa 10,45,2016,2016-08-03
Kyle Schwarber,2016 topps chrome psa 10,166,2016,2016-08-03
Rhys Hoskins,2018 topps chrome psa 10,70,2018,2018-08-01
Alex Verdugo,2018 topps chrome psa 10,167,2018,2018-08-01
Brandon Lowe,2019 topps chrome psa 10,151,2019,2019-07-31
Jeff McNeil,2019 topps chrome psa 10,152,2019,2019-07-31
