player_name,game_date,events,pitch_type,release_speed,launch_speed,launch_angle,is_hard_hit,is_barrel,woba_value,woba_denom,xwoba_event_value,estimated_ba_using_speedangle,estimated_slg_using_speedangle
Elly De La Cruz,2024-03-28,single,SL,83.3,100.4,15.0,1.0,0.0,0.9,1.0,0.672,0.676,0.898
Elly De La Cruz,2024-03-28,walk,SL,88.1,,,,,0.7,1.0,0.689131,,
Elly De La Cruz,2024-03-28,strikeout,CH,88.0,,,,,0.0,1.0,0.0,,
Elly De La Cruz,2024-03-28,strikeout,SL,88.0,,,,,0.0,1.0,0.0,,
Elly De La Cruz,2024-03-30,single,SL,83.1,29.8,-54.0,0.0,0.0,0.9,1.0,0.352,0.388,0.395
Elly De La Cruz,2024-03-30,strikeout,FF,98.3,,,,,0.0,1.0,0.0,,
Elly De La Cruz,2024-03-30,strikeout,SL,87.3,,,,,0.0,1.0,0.0,,
Elly De La Cruz,2024-03-30,field_out,FC,85.6,101.2,22.0,1.0,0.0,0.0,1.0,0.6972692307692306,0.427,1.287
Elly De La Cruz,2024-03-31,strikeout,FS,91.0,,,,,0.0,1.0,0.0,,
Elly De La Cruz,2024-03-31,triple,FC,91.8,95.5,24.0,1.0,0.0,1.6,1.0,0.267,0.213,0.442
Elly De La Cruz,2024-03-31,force_out,CH,86.8,83.5,-21.0,0.0,0.0,0.0,1.0,0.078,0.087,0.114
Elly De La Cruz,2024-03-31,grounded_into_double_play,FC,91.3,101.3,-8.0,1.0,0.0,0.0,1.0,0.346,0.358,0.365
Elly De La Cruz,2024-04-01,strikeout,FC,95.5,,,,,0.0,1.0,0.0,,
Elly De La Cruz,2024-04-01,strikeout,FF,94.6,,,,,0.0,1.0,0.0,,
Elly De La Cruz,2024-04-01,strikeout,FS,91.0,,,,,0.0,1.0,0.0,,
Elly De La Cruz,2024-04-01,single,SI,95.4,88.9,17.0,0.0,0.0,0.9,1.0,0.808,0.832,1.007
Elly De La Cruz,2024-04-01,strikeout,CH,84.2,,,,,0.0,1.0,0.0,,
Elly De La Cruz,2024-04-02,field_out,SI,90.8,73.0,-13.0,0.0,0.0,0.0,1.0,0.092,0.055,0.062
Elly De La Cruz,2024-04-02,strikeout,CU,77.7,,,,,0.0,1.0,0.0,,
Elly De La Cruz,2024-04-02,field_out,CH,84.7,98.6,-2.0,1.0,0.0,0.0,1.0,0.381,0.418,0.445
Elly De La Cruz,2024-04-02,double,SI,90.2,106.2,19.0,1.0,1.0,1.25,1.0,0.8315749999999997,0.516,1.527
